"","collectPoints_x","collectPoints_y","collectTimes"
"408",-79.2696304321289,43.6979789733887,"2019-01-09 16:01:01"
"409",-79.2646179199219,43.7530136108398,"2019-01-09 16:55:17"
"410",-79.2347717285156,43.8163070678711,"2019-01-09 18:06:50"
"411",-79.2382965087891,43.8212471008301,"2019-01-09 18:39:33"
"412",-79.6872100830078,43.6718559265137,"2019-01-09 22:30:34"
"413",-79.668212890625,43.6698417663574,"2019-01-09 23:19:48"
"414",-79.6680908203125,43.6694793701172,"2019-01-10 00:19:48"
"415",-79.6676635742188,43.6690216064453,"2019-01-10 01:19:48"
"416",-79.66796875,43.669921875,"2019-01-10 02:19:48"
"417",-79.6677551269531,43.6693229675293,"2019-01-10 03:19:48"
"418",-79.6667175292969,43.6689682006836,"2019-01-10 04:19:48"
"419",-79.6674423217773,43.6701049804688,"2019-01-10 05:19:48"
"420",-79.668083190918,43.6698608398438,"2019-01-10 06:19:48"
"421",-79.6676483154297,43.6701354980469,"2019-01-10 07:19:48"
"422",-79.6675491333008,43.669734954834,"2019-01-10 08:19:48"
"423",-79.6677780151367,43.6693115234375,"2019-01-10 09:19:48"
"424",-79.6676635742188,43.6691856384277,"2019-01-10 10:19:48"
"425",-79.6675567626953,43.6695137023926,"2019-01-10 11:19:48"
"426",-79.2777481079102,43.7250213623047,"2019-01-10 13:57:25"
"427",-79.2405166625977,43.7854652404785,"2019-01-10 14:52:50"
"428",-79.2693023681641,43.7878761291504,"2019-01-10 15:42:04"
"429",-79.0979232788086,43.8276214599609,"2019-01-10 16:53:25"
"430",-79.0613861083984,43.823112487793,"2019-01-10 17:40:10"
"431",-79.0555877685547,43.8241271972656,"2019-01-10 18:30:54"
"432",-79.0479965209961,43.8292350769043,"2019-01-10 19:13:31"
"433",-78.878288269043,43.9279632568359,"2019-01-10 20:28:46"
"434",-79.6871032714844,43.671817779541,"2019-01-10 22:45:24"
"435",-79.6666641235352,43.6684188842773,"2019-01-10 23:22:02"
"436",-79.6663970947266,43.6679344177246,"2019-01-11 00:18:25"
"437",-79.6657638549805,43.6677665710449,"2019-01-11 01:18:25"
"438",-79.6659164428711,43.6681137084961,"2019-01-11 02:18:25"
"439",-79.6655578613281,43.6677169799805,"2019-01-11 03:18:25"
"440",-79.6655731201172,43.6676063537598,"2019-01-11 04:18:25"
"441",-79.6652679443359,43.6681861877441,"2019-01-11 05:18:25"
"442",-79.6662139892578,43.6684265136719,"2019-01-11 06:18:25"
